year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,elem_cedp,middle_cedp,high_cedp,enrollment,bureau_indian_education,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,title_i_status,enrollment_crdc,psenrollment_crdc,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,direct_certification,students_chronically_absent,enrl_IB,enrl_gifted_talented,enrl_AP,enrl_AP_science,enrl_AP_math,enrl_AP_other,students_AP_exam_none,students_AP_exam_oneormore,students_AP_pass_none,students_AP_pass_oneormore,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,psychologists_fte,social_workers_fte,counselors_fte
mixed - most recent,"110005400413","AppleTree Early Learning Center PCS - Southwest","DC","AppleTree Early Learning PCS","Missing/not reported","Regular school","Yes","Closed","Pre-K","Pre-K","Yes","No","Yes","102","No","","","","","","","","","109","109","","","","","","","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","0","0","0","0","0","0","0.000","0.500","0.000"
mixed - most recent,"110003000084","Ballou HS","DC","District of Columbia Public Schools","High","Regular school","No","Open","9","12","No","No","Yes","573","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","49","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","880","Not applicable","","","","363","1019","","","90","","","91","30","60","75","","199","2.5","219","0.5","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","5.000","3.000"
mixed - most recent,"110003000207","Ballou STAY HS","DC","District of Columbia Public Schools","High","Other/alternative school","No","Open","9","12","No","No","Yes","491","No","No","No","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","22","School is not eligible for either Title I Targeted Assistance or Schoolwide program","271","Not applicable","","","","229","479","","","","","","","","","","","7","24.5","9","24.5","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","0.000","2.000","2.000"
mixed - most recent,"110003000120","Bancroft ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","616","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","52","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","544","100","","","","101","47","","","","","","","","","","","215","34","215","40","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","1.000","2.000"
mixed - most recent,"110003000529","Bard HS Early College DC","DC","District of Columbia Public Schools","Secondary","Regular school","No","New","9","11","No","No","Yes","167","","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","13","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","","","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"110003000119","Barnard ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","646","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","55","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","642","145","","","","242","120","","","","","","","","","","","236","39","236","40","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","1.000","1.000"
mixed - most recent,"110008300443","BASIS DC PCS","DC","Basis DC PCS","High","Regular school","Yes","Open","5","12","No","Yes","Yes","640","No","No","No","Not applicable","Missing/not reported","No","No","46","School is not eligible for either Title I Targeted Assistance or Schoolwide program","598","Not applicable","","","","20","49","","","149","99","75","150","8","149","50","39","477","73","486","65","1","0","0","0","0","0","0","3","0","0","1","0.000","0.000","1.000"
mixed - most recent,"110003000118","Beers ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","479","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","37","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","484","97","","","","250","118","","","","","","","","","","","166","27","166","22","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","1.000","0.000"
mixed - most recent,"110003000153","Benjamin Banneker HS","DC","District of Columbia Public Schools","High","Regular school","No","Open","9","12","No","No","Yes","523","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","29","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","481","Not applicable","","","","98","105","20","","231","37","7","215","1","229","110","119","112","92","115","72","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","0.000","0.000","3.000"
mixed - most recent,"110010400507","Breakthrough Montessori PCS","DC","Breakthrough Montessori PCS","Primary","Regular school","Yes","Open","Pre-K","2","Yes","No","No","225","No","No","No","Not applicable","Missing/not reported","No","No","9","School is not eligible for either Title I Targeted Assistance or Schoolwide program","125","88","","","","36","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","0.000"
mixed - most recent,"110003000113","Brent ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","437","No","No","No","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","32","School is not eligible for either Title I Targeted Assistance or Schoolwide program","426","66","","","","14","15","","","","","","","","","","","159","62","159","67","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","0.000","1.000","0.000"
mixed - most recent,"110005500305","Bridges PCS","DC","Bridges PCS","Primary","Regular school","Yes","Open","Pre-K","5","Yes","No","No","408","No","Yes","Yes","Not applicable","Missing/not reported","No","No","44","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","399","161","","","","157","66","","","","","","","","","","","116","22","116","22","0","0","0","0","0","0","0","0","0","0","0","0.000","1.000","1.000"
mixed - most recent,"110003000112","Brightwood Education Campus","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","8","Yes","Yes","No","713","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","72","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","737","90","","","","211","99","","","","","","","","","","","389","24","391","33","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","2.000","4.000"
mixed - most recent,"110003000494","Brookland MS","DC","District of Columbia Public Schools","Middle","Regular school","No","Open","6","8","No","Yes","No","360","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","24","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","239","Not applicable","","","","188","174","","","","","","","","","","","239","13","241","5","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","1.000","1.000"
mixed - most recent,"110003000152","Browne Education Campus","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","8","Yes","Yes","No","433","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","35","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","325","58","","","","294","71","","","","","","","","","","","160","17","161","17","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","2.000","1.000"
mixed - most recent,"110003000110","Bruce-Monroe ES at Park View","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","473","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","45","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","473","94","","","","127","84","","","","","","","","","","","168","37","169","37","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","2.000","0.000"
mixed - most recent,"110003000111","Bunker Hill ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","230","No","Yes","Yes","Not applicable","Missing/not reported","No","No","22","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","200","55","","","","","51","","","","","","","","","","","71","17","71","22","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","0.000","1.000","0.000"
mixed - most recent,"110003000107","Burroughs ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","285","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","28","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","282","71","","","","121","26","","","","","","","","","","","92","27","91","32","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","1.000","0.000"
mixed - most recent,"110003000106","Burrville ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","311","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","23","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","300","81","","","","213","108","","","","","","","","","","","94","17","98","22","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","1.000","0.000"
mixed - most recent,"110003000185","C.W. Harris ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","235","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","22","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","278","55","","","","191","124","","","","","","","","","","","112","7.5","112","7.5","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","0.000","2.000","0.000"
mixed - most recent,"110003500475","Capital City PCS - HS","DC","Capital City PCS","High","Regular school","Yes","Open","9","12","No","No","Yes","336","No","Yes","Yes","Not applicable","Missing/not reported","No","No","37","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","339","Not applicable","","","","104","126","","","61","7","19","53","1","62","24","15","87","47","86","7.5","1","0","1","1","0","2","0","1","1","0","1","0.330","0.000","1.000"
mixed - most recent,"110003500253","Capital City PCS - Lower School","DC","Capital City PCS","Primary","Regular school","Yes","Open","Pre-K","4","Yes","No","No","323","No","Yes","Yes","Not applicable","Missing/not reported","No","No","28","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","324","74","","","","94","61","","","","","","","","","","","102","32","102","27","0","0","0","0","0","0","0","0","0","0","0","0.330","0.000","1.000"
mixed - most recent,"110003500464","Capital City PCS - MS","DC","Capital City PCS","Middle","Regular school","Yes","Open","5","8","No","Yes","No","333","No","Yes","Yes","Not applicable","Missing/not reported","No","No","37","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","336","Not applicable","","","","83","82","","","","","","","","","","","332","33","332","17","0","0","0","0","0","0","0","0","0","0","0","0.330","0.000","1.000"
mixed - most recent,"110003000446","Capitol Hill Montessori School at Logan","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","8","Yes","Yes","No","325","No","No","No","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","22","School is not eligible for either Title I Targeted Assistance or Schoolwide program","365","106","","","","57","47","","","","","","","","","","","121","37","121","32","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","1.000","1.000"
mixed - most recent,"110003000082","Cardozo Education Campus","DC","District of Columbia Public Schools","High","Regular school","No","Open","6","12","No","Yes","Yes","725","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","71","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","784","Not applicable","","","","272","713","","","241","30","4","236","69","171","49","","312","12","320","3","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","7.000","5.000"
mixed - most recent,"110002900245","Cedar Tree Academy PCS","DC","Cedar Tree Academy PCS","Primary","Regular school","Yes","Open","Pre-K","Kindergarten","Yes","No","No","362","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","17","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","380","381","","","","249","16","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","2.000"
mixed - most recent,"110007300400","Center City PCS - Brightwood","DC","Center City PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","258","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","26","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","263","39","","","","56","6","","","","","","","","","","","145","42","145","37","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","1.000"
mixed - most recent,"110007300393","Center City PCS - Capitol Hill","DC","Center City PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","260","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","21","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","260","36","","","","139","111","","","","","","","","","","","147","22","147","22","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","1.000"
mixed - most recent,"110007300412","Center City PCS - Congress Heights","DC","Center City PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","252","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","24","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","256","36","","","","119","70","","","","","","","","","","","140","32","140","27","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","1.000"
mixed - most recent,"110007300395","Center City PCS - Petworth","DC","Center City PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","255","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","24","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","252","42","","","","75","43","","","","","","","","","","","147","32","147","27","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","1.000"
mixed - most recent,"110007300404","Center City PCS - Shaw","DC","Center City PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","231","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","22","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","236","26","","","","104","53","","","","","","","","","","","141","32","141","27","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","1.000"
mixed - most recent,"110007300403","Center City PCS - Trinidad","DC","Center City PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","219","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","20","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","202","17","","","","126","84","","","","","","","","","","","114","12","114","12","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","1.000"
mixed - most recent,"110000500219","Cesar Chavez PCS for Public Policy - Capitol Hill","DC","Cesar Chavez PCS for Public Policy","Missing/not reported","Regular school","Yes","Closed","9","12","No","No","Yes","387","No","","","","","","","","","259","Not applicable","","","","","","","","51","","","51","0","45","","","58","24.5","57","5","0","0","0","0","0","0","0","0","0","0","0","0.500","1.000","3.000"
mixed - most recent,"110000500377","Cesar Chavez PCS for Public Policy - Chavez Prep","DC","Cesar Chavez PCS for Public Policy","Missing/not reported","Regular school","Yes","Closed","6","9","No","Yes","Yes","357","No","","","","","","","","","294","Not applicable","","","","","","","","","","","","","","","","228","22","228","13","2","0","0","2","0","0","0","1","0","0","2","0.500","2.000","0.000"
mixed - most recent,"110000500456","Cesar Chavez PCS for Public Policy - Parkside HS","DC","Cesar Chavez PCS for Public Policy","High","Regular school","Yes","Open","9","12","No","No","Yes","369","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","31","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","366","Not applicable","","","","222","","","","58","","9","51","10","48","","","96","17","100","7.5","1","0","0","1","0","0","0","1","0","0","1","0.500","3.000","2.000"
mixed - most recent,"110000500328","Cesar Chavez PCS for Public Policy - Parkside MS","DC","Cesar Chavez PCS for Public Policy","Middle","Regular school","Yes","Open","8","8","No","Yes","No","60","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","4","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","257","Not applicable","","","","38","","","","","","","","","","","","228","20","229","8","0","0","0","0","0","0","0","0","0","0","0","0.500","2.000","0.000"
mixed - most recent,"110005300455","City Arts & Prep PCS","DC","City Arts & Prep PCS","Missing/not reported","Regular school","Yes","Closed","Pre-K","8","Yes","Yes","Yes","467","No","","","","","","","","","","","","","","","0","","","","","","","","","","","224","27","225","24","","","","","","","","","","","","","",""
mixed - most recent,"110003000103","Cleveland ES","DC","District of Columbia Public Schools","Primary","Regular school","No","Open","Pre-K","5","Yes","No","No","308","No","No","No","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","27","School is not eligible for either Title I Targeted Assistance or Schoolwide program","319","79","","","","140","58","","","","","","","","","","","115","32","115","32","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","0.000","1.000","0.000"
mixed - most recent,"110003000396","Columbia Heights Education Campus","DC","District of Columbia Public Schools","High","Regular school","No","Open","6","12","No","Yes","Yes","1481","No","No","No","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","110","School is not eligible for either Title I Targeted Assistance or Schoolwide program","1240","Not applicable","","","","526","1009","","","546","33","40","538","53","493","398","70","520","25","467","20","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","4.000","8.000"
mixed - most recent,"110003000081","Coolidge HS","DC","District of Columbia Public Schools","High","Regular school","No","Open","9","12","No","No","Yes","457","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","38","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","309","Not applicable","","","","188","305","","","61","8","5","57","5","57","52","","72","7.5","81","2.5","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","1.000","3.000","2.000"
mixed - most recent,"110008400440","Creative Minds International PCS","DC","Creative Minds International PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","518","No","No","No","Not applicable","Missing/not reported","No","No","49","School is not eligible for either Title I Targeted Assistance or Schoolwide program","440","176","","","","91","0","","","","","","","","","","","177","32","177","37","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","1.000"
mixed - most recent,"110004200273","DC Bilingual PCS","DC","DC Bilingual PCS","Primary","Regular school","Yes","Open","Pre-K","5","Yes","No","No","453","No","Yes","Yes","Not applicable","Missing/not reported","No","No","49","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","440","96","","","","90","6","","","","","","","","","","","149","32","149","32","0","7","0","0","0","0","6","0","0","6","0","0.000","0.000","2.000"
mixed - most recent,"110004800501","DC Prep PCS - Anacostia ES","DC","DC Prep PCS","Primary","Regular school","Yes","Open","Pre-K","3","Yes","No","No","459","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","41","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","304","154","","","","295","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.600","0.000","1.000"
mixed - most recent,"110004800387","DC Prep PCS - Benning ES","DC","DC Prep PCS","Primary","Regular school","Yes","Open","Pre-K","3","Yes","No","No","455","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","41","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","453","151","","","","267","70","","","","","","","","","","","76","32","76","42","0","0","0","0","0","0","0","0","0","0","0","0.600","0.000","1.000"
mixed - most recent,"110004800474","DC Prep PCS - Benning MS","DC","DC Prep PCS","Middle","Regular school","Yes","Open","4","8","Yes","Yes","No","342","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","33","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","334","Not applicable","","","","173","58","","","","","","","","","","","326","45","326","47","3","1","0","1","0","0","1","4","0","1","4","0.600","0.000","1.000"
mixed - most recent,"110004800388","DC Prep PCS - Edgewood ES","DC","DC Prep PCS","Primary","Regular school","Yes","Open","Pre-K","3","Yes","No","No","442","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","43","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","451","153","","","","167","46","","","","","","","","","","","75","42","75","52","0","0","0","0","0","0","0","0","0","0","0","0.600","0.000","1.000"
mixed - most recent,"110004800277","DC Prep PCS - Edgewood MS","DC","DC Prep PCS","Middle","Regular school","Yes","Open","4","8","Yes","Yes","No","339","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","32","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","332","Not applicable","","","","115","35","","","","","","","","","","","326","52","326","55","2","1","0","0","0","0","1","2","0","3","2","0.600","0.000","1.000"
mixed - most recent,"110008500438","DC Scholars PCS","DC","DC Scholars PCS","Primary","Regular school","Yes","Open","Pre-K","8","Yes","Yes","No","554","No","Yes","Yes","Not applicable","Missing/not reported","No","Yes under the Community Eligibility Provision (CEP)","38","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","516","120","","","","335","100","","","","","","","","","","","202","20","202","35","0","0","0","0","0","0","0","0","0","0","0","0.000","0.000","2.000"
mixed - most recent,"110003000138","Deal MS","DC","District of Columbia Public Schools","Middle","Regular school","No","Open","6","8","No","Yes","No","1458","No","No","No","Not applicable","Missing/not reported","No","Yes participating without using any Provision or the CEP","112","School is not eligible for either Title I Targeted Assistance or Schoolwide program","1475","Not applicable","","","","106","163","","","","","","","","","","","1440","76","1440","63","0","0","0","Missing/not reported","Missing/not reported","0","0","0","0","0","0","2.000","3.000","4.000"
